Renommage Ghidra: 5516 déplacés, 39 renommés

ArrayUnwindFilter.c                           → ghidra/jgld/ArrayUnwindFilter.c
FUN_10019ed0.c                                → ghidra/terrain/FUN_10019ed0.c
FUN_10019fb1.c                                → ghidra/terrain/FUN_10019fb1.c
FUN_1001a0e0.c                                → ghidra/jgld/FUN_1001a0e0.c
FUN_1001a115.c                                → ghidra/terrain/FUN_1001a115.c
FUN_1001a120.c                                → ghidra/terrain/FUN_1001a120.c
FUN_1001a197.c                                → ghidra/terrain/FUN_1001a197.c
FUN_1001a1a2.c                                → ghidra/terrain/FUN_1001a1a2.c
FUN_1001a1c1.c                                → ghidra/terrain/FUN_1001a1c1.c
FUN_1001a200.c                                → ghidra/terrain/FUN_1001a200.c
FUN_1001a210.c                                → ghidra/terrain/FUN_1001a210.c
FUN_1001a220.c                                → ghidra/terrain/FUN_1001a220.c
FUN_1001a250.c                                → ghidra/jgld/FUN_1001a250.c
FUN_1001a2c0.c                                → ghidra/sound/FUN_1001a2c0.c
FUN_1001a300.c                                → ghidra/terrain/FUN_1001a300.c
FUN_1001a320.c                                → ghidra/terrain/FUN_1001a320.c
FUN_1001a6b0.c                                → ghidra/jgld/FUN_1001a6b0.c
FUN_1001a6c0.c                                → ghidra/sound/FUN_1001a6c0.c
FUN_1001a7d0.c                                → ghidra/jgl/FUN_1001a7d0.c
FUN_1001a910.c                                → ghidra/sound/FUN_1001a910.c
FUN_1001a9c0.c                                → ghidra/terrain/FUN_1001a9c0.c
FUN_1001aa61.c                                → ghidra/terrain/FUN_1001aa61.c
FUN_1001aa6c.c                                → ghidra/terrain/FUN_1001aa6c.c
FUN_1001ab40.c                                → ghidra/jgld/FUN_1001ab40.c
FUN_1001ab5a.c                                → ghidra/terrain/FUN_1001ab5a.c
FUN_1001ab60.c                                → ghidra/sound/FUN_1001ab60.c
FUN_1001ab65.c                                → ghidra/terrain/FUN_1001ab65.c
FUN_1001abd0.c                                → ghidra/sound/FUN_1001abd0.c
FUN_1001ac40.c                                → ghidra/sound/FUN_1001ac40.c
FUN_1001ad30.c                                → ghidra/sound/FUN_1001ad30.c
FUN_1001ad86.c                                → ghidra/terrain/FUN_1001ad86.c
FUN_1001ad91.c                                → ghidra/terrain/FUN_1001ad91.c
FUN_1001adc0.c                                → ghidra/sound/FUN_1001adc0.c
FUN_1001ae00.c                                → ghidra/sound/FUN_1001ae00.c
FUN_1001ae50.c                                → ghidra/sound/FUN_1001ae50.c
FUN_1001aef0.c                                → ghidra/sound/FUN_1001aef0.c
FUN_1001af9b.c                                → ghidra/terrain/FUN_1001af9b.c
FUN_1001afa6.c                                → ghidra/terrain/FUN_1001afa6.c
FUN_1001b040.c                                → ghidra/terrain/FUN_1001b040.c
FUN_1001b060.c                                → ghidra/jgld/FUN_1001b060.c
FUN_1001b0d0.c                                → ghidra/sound/FUN_1001b0d0.c
FUN_1001b0db.c                                → ghidra/terrain/FUN_1001b0db.c
FUN_1001b0e6.c                                → ghidra/terrain/FUN_1001b0e6.c
FUN_1001b15d.c                                → ghidra/terrain/FUN_1001b15d.c
FUN_1001b160.c                                → ghidra/sound/FUN_1001b160.c
FUN_1001b168.c                                → ghidra/terrain/FUN_1001b168.c
FUN_1001b1f0.c                                → ghidra/sound/FUN_1001b1f0.c
FUN_1001b212.c                                → ghidra/terrain/FUN_1001b212.c
FUN_1001b257.c                                → ghidra/terrain/FUN_1001b257.c
FUN_1001b262.c                                → ghidra/terrain/FUN_1001b262.c
FUN_1001b2d0.c                                → ghidra/terrain/FUN_1001b2d0.c
FUN_1001b300.c                                → ghidra/terrain/FUN_1001b300.c
FUN_1001b480.c                                → ghidra/terrain/FUN_1001b480.c
FUN_1001b4e0.c                                → ghidra/terrain/FUN_1001b4e0.c
FUN_1001b540.c                                → ghidra/terrain/FUN_1001b540.c
FUN_1001b570.c                                → ghidra/sound/FUN_1001b570.c
FUN_1001b590.c                                → ghidra/jgld/FUN_1001b590.c
FUN_1001b5d0.c                                → ghidra/jgld/FUN_1001b5d0.c
FUN_1001b610.c                                → ghidra/jgld/FUN_1001b610.c
FUN_1001b650.c                                → ghidra/jgld/FUN_1001b650.c
FUN_1001b690.c                                → ghidra/jgld/FUN_1001b690.c
FUN_1001b6d0.c                                → ghidra/jgl/FUN_1001b6d0.c
FUN_1001b870.c                                → ghidra/sound/FUN_1001b870.c
FUN_1001b9a0.c                                → ghidra/sound/FUN_1001b9a0.c
FUN_1001ba70.c                                → ghidra/sound/FUN_1001ba70.c
FUN_1001bae0.c                                → ghidra/jgld/FUN_1001bae0.c
FUN_1001bb10.c                                → ghidra/sound/FUN_1001bb10.c
FUN_1001bb20.c                                → ghidra/terrain/FUN_1001bb20.c
FUN_1001bb80.c                                → ghidra/sound/FUN_1001bb80.c
FUN_1001bbb0.c                                → ghidra/sound/FUN_1001bbb0.c
FUN_1001bc00.c                                → ghidra/sound/FUN_1001bc00.c
FUN_1001bc40.c                                → ghidra/jgld/FUN_1001bc40.c
FUN_1001bc50.c                                → ghidra/sound/FUN_1001bc50.c
FUN_1001bca0.c                                → ghidra/sound/FUN_1001bca0.c
FUN_1001bd90.c                                → ghidra/sound/FUN_1001bd90.c
FUN_1001bea0.c                                → ghidra/sound/FUN_1001bea0.c
FUN_1001bee0.c                                → ghidra/sound/FUN_1001bee0.c
FUN_1001c060.c                                → ghidra/sound/FUN_1001c060.c
FUN_1001c080.c                                → ghidra/sound/FUN_1001c080.c
FUN_1001c170.c                                → ghidra/terrain/FUN_1001c170.c
FUN_1001c1e0.c                                → ghidra/sound/FUN_1001c1e0.c
FUN_1001c1f5.c                                → ghidra/sound/FUN_1001c1f5.c
FUN_1001c2a0.c                                → ghidra/sound/FUN_1001c2a0.c
FUN_1001c2f0.c                                → ghidra/sound/FUN_1001c2f0.c
FUN_1001c340.c                                → ghidra/sound/FUN_1001c340.c
FUN_1001c360.c                                → ghidra/terrain/FUN_1001c360.c
FUN_1001c370.c                                → ghidra/sound/FUN_1001c370.c
FUN_1001c400.c                                → ghidra/sound/FUN_1001c400.c
FUN_1001c530.c                                → ghidra/sound/FUN_1001c530.c
FUN_1001c560.c                                → ghidra/sound/FUN_1001c560.c
FUN_1001c5c0.c                                → ghidra/sound/FUN_1001c5c0.c
FUN_1001c5d0.c                                → ghidra/jgl/FUN_1001c5d0.c
FUN_1001c6e0.c                                → ghidra/sound/FUN_1001c6e0.c
FUN_1001c710.c                                → ghidra/sound/FUN_1001c710.c
FUN_1001c730.c                                → ghidra/sound/FUN_1001c730.c
FUN_1001c7a0.c                                → ghidra/sound/FUN_1001c7a0.c
FUN_1001c7e0.c                                → ghidra/sound/FUN_1001c7e0.c
FUN_1001c820.c                                → ghidra/sound/FUN_1001c820.c
FUN_1001c870.c                                → ghidra/sound/FUN_1001c870.c
FUN_1001c950.c                                → ghidra/sound/FUN_1001c950.c
FUN_1001c990.c                                → ghidra/sound/FUN_1001c990.c
FUN_1001ca80.c                                → ghidra/terrain/FUN_1001ca80.c
FUN_1001caf0.c                                → ghidra/sound/FUN_1001caf0.c
FUN_1001cb60.c                                → ghidra/sound/FUN_1001cb60.c
FUN_1001cb80.c                                → ghidra/sound/FUN_1001cb80.c
FUN_1001cba0.c                                → ghidra/sound/FUN_1001cba0.c
FUN_1001cbd0.c                                → ghidra/sound/FUN_1001cbd0.c
FUN_1001cbf0.c                                → ghidra/sound/FUN_1001cbf0.c
FUN_1001cc60.c                                → ghidra/sound/FUN_1001cc60.c
FUN_1001cc80.c                                → ghidra/sound/FUN_1001cc80.c
FUN_1001cca0.c                                → ghidra/sound/FUN_1001cca0.c
FUN_1001ccd0.c                                → ghidra/sound/FUN_1001ccd0.c
FUN_1001ccf0.c                                → ghidra/sound/FUN_1001ccf0.c
FUN_1001cd30.c                                → ghidra/sound/FUN_1001cd30.c
FUN_1001cde0.c                                → ghidra/jgld/FUN_1001cde0.c
FUN_1001ced0.c                                → ghidra/sound/FUN_1001ced0.c
FUN_1001d0a0.c                                → ghidra/sound/FUN_1001d0a0.c
FUN_1001d0b0.c                                → ghidra/terrain/FUN_1001d0b0.c
FUN_1001d0e0.c                                → ghidra/terrain/FUN_1001d0e0.c
FUN_1001d130.c                                → ghidra/sound/FUN_1001d130.c
FUN_1001d150.c                                → ghidra/sound/FUN_1001d150.c
FUN_1001d1d0.c                                → ghidra/sound/FUN_1001d1d0.c
FUN_1001d250.c                                → ghidra/sound/FUN_1001d250.c
FUN_1001d2c0.c                                → ghidra/terrain/FUN_1001d2c0.c
FUN_1001d340.c                                → ghidra/terrain/FUN_1001d340.c
FUN_1001d380.c                                → ghidra/sound/FUN_1001d380.c
FUN_1001d4a0.c                                → ghidra/sound/FUN_1001d4a0.c
FUN_1001d510.c                                → ghidra/jgl/FUN_1001d510.c
FUN_1001d530.c                                → ghidra/terrain/FUN_1001d530.c
FUN_1001d5a0.c                                → ghidra/terrain/FUN_1001d5a0.c
FUN_1001d780.c                                → ghidra/sound/FUN_1001d780.c
FUN_1001d810.c                                → ghidra/sound/FUN_1001d810.c
FUN_1001d960.c                                → ghidra/terrain/FUN_1001d960.c
FUN_1001dc10.c                                → ghidra/terrain/FUN_1001dc10.c
FUN_1001dce0.c                                → ghidra/sound/FUN_1001dce0.c
FUN_1001dd80.c                                → ghidra/terrain/FUN_1001dd80.c
FUN_1001df80.c                                → ghidra/jgld/FUN_1001df80.c
FUN_1001dfc0.c                                → ghidra/terrain/FUN_1001dfc0.c
FUN_1001e020.c                                → ghidra/terrain/FUN_1001e020.c
FUN_1001e1c0.c                                → ghidra/sound/FUN_1001e1c0.c
FUN_1001e230.c                                → ghidra/sound/FUN_1001e230.c
FUN_1001e250.c                                → ghidra/terrain/FUN_1001e250.c
FUN_1001e2b0.c                                → ghidra/sound/FUN_1001e2b0.c
FUN_1001e2e0.c                                → ghidra/terrain/FUN_1001e2e0.c
FUN_1001e3d0.c                                → ghidra/sound/FUN_1001e3d0.c
FUN_1001e410.c                                → ghidra/terrain/FUN_1001e410.c
FUN_1001e450.c                                → ghidra/jgl/FUN_1001e450.c
FUN_1001e470.c                                → ghidra/terrain/FUN_1001e470.c
FUN_1001e490.c                                → ghidra/terrain/FUN_1001e490.c
FUN_1001e530.c                                → ghidra/sound/FUN_1001e530.c
FUN_1001e580.c                                → ghidra/terrain/FUN_1001e580.c
FUN_1001e590.c                                → ghidra/terrain/FUN_1001e590.c
FUN_1001e5d0.c                                → ghidra/terrain/FUN_1001e5d0.c
FUN_1001e630.c                                → ghidra/sound/FUN_1001e630.c
FUN_1001e680.c                                → ghidra/sound/FUN_1001e680.c
FUN_1001e6d0.c                                → ghidra/terrain/FUN_1001e6d0.c
FUN_1001e6e0.c                                → ghidra/sound/FUN_1001e6e0.c
FUN_1001e710.c                                → ghidra/sound/FUN_1001e710.c
FUN_1001e750.c                                → ghidra/sound/FUN_1001e750.c
FUN_1001e790.c                                → ghidra/terrain/FUN_1001e790.c
FUN_1001e7d0.c                                → ghidra/sound/FUN_1001e7d0.c
FUN_1001e8c0.c                                → ghidra/terrain/FUN_1001e8c0.c
FUN_1001e8e0.c                                → ghidra/sound/FUN_1001e8e0.c
FUN_1001e920.c                                → ghidra/terrain/FUN_1001e920.c
FUN_1001e950.c                                → ghidra/terrain/FUN_1001e950.c
FUN_1001e970.c                                → ghidra/jgld/FUN_1001e970.c
FUN_1001e990.c                                → ghidra/terrain/FUN_1001e990.c
FUN_1001e9a0.c                                → ghidra/sound/FUN_1001e9a0.c
FUN_1001e9c0.c                                → ghidra/terrain/FUN_1001e9c0.c
FUN_1001e9f0.c                                → ghidra/sound/FUN_1001e9f0.c
FUN_1001eab0.c                                → ghidra/sound/FUN_1001eab0.c
FUN_1001eaf0.c                                → ghidra/terrain/FUN_1001eaf0.c
FUN_1001eb90.c                                → ghidra/terrain/FUN_1001eb90.c
FUN_1001ebe0.c                                → ghidra/terrain/FUN_1001ebe0.c
FUN_1001ec30.c                                → ghidra/terrain/FUN_1001ec30.c
FUN_1001ecc0.c                                → ghidra/sound/FUN_1001ecc0.c
FUN_1001ecf0.c                                → ghidra/terrain/FUN_1001ecf0.c
FUN_1001ed00.c                                → ghidra/terrain/FUN_1001ed00.c
FUN_1001ee40.c                                → ghidra/terrain/FUN_1001ee40.c
FUN_1001ef10.c                                → ghidra/sound/FUN_1001ef10.c
FUN_1001ef80.c                                → ghidra/sound/FUN_1001ef80.c
FUN_1001f030.c                                → ghidra/terrain/FUN_1001f030.c
FUN_1001f0c0.c                                → ghidra/terrain/FUN_1001f0c0.c
FUN_1001f150.c                                → ghidra/sound/FUN_1001f150.c
FUN_1001f1c0.c                                → ghidra/sound/FUN_1001f1c0.c
FUN_1001f2d0.c                                → ghidra/jgld/FUN_1001f2d0.c
FUN_1001f390.c                                → ghidra/jgl/FUN_1001f390.c
FUN_1001f4a0.c                                → ghidra/sound/FUN_1001f4a0.c
FUN_1001f510.c                                → ghidra/terrain/FUN_1001f510.c
FUN_1001f6c0.c                                → ghidra/sound/FUN_1001f6c0.c
FUN_1001f6f0.c                                → ghidra/sound/FUN_1001f6f0.c
FUN_1001f850.c                                → ghidra/terrain/FUN_1001f850.c
FUN_1001f8c0.c                                → ghidra/sound/FUN_1001f8c0.c
FUN_1001fbe0.c                                → ghidra/terrain/FUN_1001fbe0.c
FUN_1001fd60.c                                → ghidra/terrain/FUN_1001fd60.c
FUN_1001ff50.c                                → ghidra/sound/FUN_1001ff50.c
FUN_1001ffe0.c                                → ghidra/terrain/FUN_1001ffe0.c
FUN_10020070.c                                → ghidra/terrain/FUN_10020070.c
FUN_100202d0.c                                → ghidra/jgl/FUN_100202d0.c
FUN_10020310.c                                → ghidra/terrain/FUN_10020310.c
FUN_10020360.c                                → ghidra/sound/FUN_10020360.c
FUN_100203c0.c                                → ghidra/terrain/FUN_100203c0.c
FUN_10020430.c                                → ghidra/jgld/FUN_10020430.c
FUN_100204b0.c                                → ghidra/sound/FUN_100204b0.c
FUN_100204e0.c                                → ghidra/sound/FUN_100204e0.c
FUN_100205d0.c                                → ghidra/terrain/FUN_100205d0.c
FUN_100205f0.c                                → ghidra/sound/FUN_100205f0.c
FUN_10020650.c                                → ghidra/terrain/FUN_10020650.c
FUN_10020720.c                                → ghidra/sound/FUN_10020720.c
FUN_100207c0.c                                → ghidra/terrain/FUN_100207c0.c
FUN_100207f0.c                                → ghidra/sound/FUN_100207f0.c
FUN_10020830.c                                → ghidra/terrain/FUN_10020830.c
FUN_10020870.c                                → ghidra/sound/FUN_10020870.c
FUN_10020970.c                                → ghidra/terrain/FUN_10020970.c
FUN_10020af0.c                                → ghidra/terrain/FUN_10020af0.c
FUN_10020b60.c                                → ghidra/sound/FUN_10020b60.c
FUN_10020b80.c                                → ghidra/terrain/FUN_10020b80.c
FUN_10020ba0.c                                → ghidra/terrain/FUN_10020ba0.c
FUN_10020be0.c                                → ghidra/sound/FUN_10020be0.c
FUN_10020c0a.c                                → ghidra/terrain/FUN_10020c0a.c
FUN_10020c10.c                                → ghidra/terrain/FUN_10020c10.c
FUN_10020c30.c                                → ghidra/terrain/FUN_10020c30.c
FUN_10020d20.c                                → ghidra/terrain/FUN_10020d20.c
FUN_10020d80.c                                → ghidra/sound/FUN_10020d80.c
FUN_10020ea0.c                                → ghidra/sound/FUN_10020ea0.c
FUN_10020ee0.c                                → ghidra/sound/FUN_10020ee0.c
FUN_10020f50.c                                → ghidra/sound/FUN_10020f50.c
FUN_10020fc0.c                                → ghidra/terrain/FUN_10020fc0.c
FUN_10020fe0.c                                → ghidra/sound/FUN_10020fe0.c
FUN_100210e0.c                                → ghidra/terrain/FUN_100210e0.c
FUN_100211a0.c                                → ghidra/terrain/FUN_100211a0.c
FUN_10021240.c                                → ghidra/jgl/FUN_10021240.c
FUN_10021370.c                                → ghidra/sound/FUN_10021370.c
FUN_10021390.c                                → ghidra/terrain/FUN_10021390.c
FUN_100213d0.c                                → ghidra/sound/FUN_100213d0.c
FUN_1002146d.c                                → ghidra/terrain/FUN_1002146d.c
FUN_100214cb.c                                → ghidra/terrain/FUN_100214cb.c
FUN_100214e0.c                                → ghidra/terrain/FUN_100214e0.c
FUN_10021530.c                                → ghidra/terrain/FUN_10021530.c
FUN_100215c0.c                                → ghidra/sound/FUN_100215c0.c
FUN_10021720.c                                → ghidra/jgld/FUN_10021720.c
FUN_100218e0.c                                → ghidra/terrain/FUN_100218e0.c
FUN_10021970.c                                → ghidra/terrain/FUN_10021970.c
FUN_100219a0.c                                → ghidra/terrain/FUN_100219a0.c
FUN_100219c0.c                                → ghidra/terrain/FUN_100219c0.c
FUN_10021a60.c                                → ghidra/terrain/FUN_10021a60.c
FUN_10021a90.c                                → ghidra/sound/FUN_10021a90.c
FUN_10021b70.c                                → ghidra/terrain/FUN_10021b70.c
FUN_10021b80.c                                → ghidra/terrain/FUN_10021b80.c
FUN_10021bf0.c                                → ghidra/sound/FUN_10021bf0.c
FUN_10021da0.c                                → ghidra/terrain/FUN_10021da0.c
FUN_10021db5.c                                → ghidra/terrain/FUN_10021db5.c
FUN_10021dcc.c                                → ghidra/terrain/FUN_10021dcc.c
FUN_10021e28.c                                → ghidra/terrain/FUN_10021e28.c
FUN_10021e3e.c                                → ghidra/terrain/FUN_10021e3e.c
FUN_10021e89.c                                → ghidra/terrain/FUN_10021e89.c
FUN_10021ee0.c                                → ghidra/sound/FUN_10021ee0.c
FUN_10021f30.c                                → ghidra/terrain/FUN_10021f30.c
FUN_10021fa0.c                                → ghidra/sound/FUN_10021fa0.c
FUN_100221a0.c                                → ghidra/terrain/FUN_100221a0.c
FUN_100221b0.c                                → ghidra/jgl/FUN_100221b0.c
FUN_10022200.c                                → ghidra/sound/FUN_10022200.c
FUN_10022240.c                                → ghidra/sound/FUN_10022240.c
FUN_10022280.c                                → ghidra/sound/FUN_10022280.c
FUN_10022320.c                                → ghidra/sound/FUN_10022320.c
FUN_10022410.c                                → ghidra/terrain/FUN_10022410.c
FUN_100224b0.c                                → ghidra/terrain/FUN_100224b0.c
FUN_100226e0.c                                → ghidra/terrain/FUN_100226e0.c
FUN_10022750.c                                → ghidra/sound/FUN_10022750.c
FUN_10022780.c                                → ghidra/terrain/FUN_10022780.c
FUN_100227a0.c                                → ghidra/sound/FUN_100227a0.c
FUN_100228d0.c                                → ghidra/sound/FUN_100228d0.c
FUN_100229c0.c                                → ghidra/terrain/FUN_100229c0.c
FUN_100229f0.c                                → ghidra/sound/FUN_100229f0.c
FUN_10022a10.c                                → ghidra/jgld/FUN_10022a10.c
FUN_10022a20.c                                → ghidra/terrain/FUN_10022a20.c
FUN_10022a30.c                                → ghidra/terrain/FUN_10022a30.c
FUN_10022a40.c                                → ghidra/terrain/FUN_10022a40.c
FUN_10022d00.c                                → ghidra/sound/FUN_10022d00.c
FUN_10023000.c                                → ghidra/sound/FUN_10023000.c
FUN_10023020.c                                → ghidra/terrain/FUN_10023020.c
FUN_10023080.c                                → ghidra/sound/FUN_10023080.c
FUN_100230f0.c                                → ghidra/terrain/FUN_100230f0.c
FUN_10023130.c                                → ghidra/jgl/FUN_10023130.c
FUN_100231e0.c                                → ghidra/sound/FUN_100231e0.c
FUN_10023260.c                                → ghidra/terrain/FUN_10023260.c
FUN_10023540.c                                → ghidra/sound/FUN_10023540.c
FUN_10023610.c                                → ghidra/sound/FUN_10023610.c
FUN_10023630.c                                → ghidra/terrain/FUN_10023630.c
FUN_10023780.c                                → ghidra/terrain/FUN_10023780.c
FUN_10023860.c                                → ghidra/terrain/FUN_10023860.c
FUN_100238b0.c                                → ghidra/sound/FUN_100238b0.c
FUN_10023950.c                                → ghidra/sound/FUN_10023950.c
FUN_10023a60.c                                → ghidra/sound/FUN_10023a60.c
FUN_10023c20.c                                → ghidra/sound/FUN_10023c20.c
FUN_10023c70.c                                → ghidra/sound/FUN_10023c70.c
FUN_10023c90.c                                → ghidra/terrain/FUN_10023c90.c
FUN_10023d00.c                                → ghidra/sound/FUN_10023d00.c
FUN_10023e10.c                                → ghidra/sound/FUN_10023e10.c
FUN_10023ea0.c                                → ghidra/sound/FUN_10023ea0.c
FUN_10023eb0.c                                → ghidra/terrain/FUN_10023eb0.c
FUN_10023f10.c                                → ghidra/sound/FUN_10023f10.c
FUN_10024040.c                                → ghidra/sound/FUN_10024040.c
FUN_100240b0.c                                → ghidra/jgl/FUN_100240b0.c
FUN_10024120.c                                → ghidra/terrain/FUN_10024120.c
FUN_10024140.c                                → ghidra/jgld/FUN_10024140.c
FUN_100241f0.c                                → ghidra/sound/FUN_100241f0.c
FUN_10024220.c                                → ghidra/terrain/FUN_10024220.c
FUN_10024230.c                                → ghidra/sound/FUN_10024230.c
FUN_10024260.c                                → ghidra/sound/FUN_10024260.c
FUN_10024280.c                                → ghidra/sound/FUN_10024280.c
FUN_10024320.c                                → ghidra/terrain/FUN_10024320.c
FUN_10024360.c                                → ghidra/sound/FUN_10024360.c
FUN_100243f0.c                                → ghidra/terrain/FUN_100243f0.c
FUN_10024400.c                                → ghidra/terrain/FUN_10024400.c
FUN_10024410.c                                → ghidra/terrain/FUN_10024410.c
FUN_10024460.c                                → ghidra/sound/FUN_10024460.c
FUN_100244a0.c                                → ghidra/sound/FUN_100244a0.c
FUN_10024500.c                                → ghidra/sound/FUN_10024500.c
FUN_10024630.c                                → ghidra/sound/FUN_10024630.c
FUN_100246a0.c                                → ghidra/sound/FUN_100246a0.c
FUN_10024750.c                                → ghidra/terrain/FUN_10024750.c
FUN_10024770.c                                → ghidra/terrain/FUN_10024770.c
FUN_100247c0.c                                → ghidra/sound/FUN_100247c0.c
FUN_10024920.c                                → ghidra/sound/FUN_10024920.c
FUN_10024ab0.c                                → ghidra/terrain/FUN_10024ab0.c
FUN_10024b80.c                                → ghidra/sound/FUN_10024b80.c
FUN_10024c50.c                                → ghidra/sound/FUN_10024c50.c
FUN_10024c60.c                                → ghidra/terrain/FUN_10024c60.c
FUN_10024ce0.c                                → ghidra/sound/FUN_10024ce0.c
FUN_10024d40.c                                → ghidra/sound/FUN_10024d40.c
FUN_10024de0.c                                → ghidra/sound/FUN_10024de0.c
FUN_10024e60.c                                → ghidra/sound/FUN_10024e60.c
FUN_10024ee0.c                                → ghidra/jgl/FUN_10024ee0.c
FUN_10024f90.c                                → ghidra/sound/FUN_10024f90.c
FUN_10025010.c                                → ghidra/sound/FUN_10025010.c
FUN_10025190.c                                → ghidra/sound/FUN_10025190.c
FUN_100256c0.c                                → ghidra/sound/FUN_100256c0.c
FUN_10025900.c                                → ghidra/jgld/FUN_10025900.c
FUN_10025990.c                                → ghidra/terrain/FUN_10025990.c
FUN_10025a10.c                                → ghidra/terrain/FUN_10025a10.c
FUN_10025a50.c                                → ghidra/terrain/FUN_10025a50.c
FUN_10025aa0.c                                → ghidra/terrain/FUN_10025aa0.c
FUN_10025ac0.c                                → ghidra/terrain/FUN_10025ac0.c
FUN_10025ae0.c                                → ghidra/terrain/FUN_10025ae0.c
FUN_10025b00.c                                → ghidra/terrain/FUN_10025b00.c
FUN_10025c80.c                                → ghidra/sound/FUN_10025c80.c
FUN_10025cc0.c                                → ghidra/terrain/FUN_10025cc0.c
FUN_10025d60.c                                → ghidra/jgl/FUN_10025d60.c
FUN_10025da0.c                                → ghidra/terrain/FUN_10025da0.c
FUN_10025dd0.c                                → ghidra/jgld/FUN_10025dd0.c
FUN_10026050.c                                → ghidra/terrain/FUN_10026050.c
FUN_10026130.c                                → ghidra/terrain/FUN_10026130.c
FUN_100261a0.c                                → ghidra/terrain/FUN_100261a0.c
FUN_10026240.c                                → ghidra/jgld/FUN_10026240.c
FUN_10026260.c                                → ghidra/sound/FUN_10026260.c
FUN_100262b0.c                                → ghidra/terrain/FUN_100262b0.c
FUN_10026370.c                                → ghidra/terrain/FUN_10026370.c
FUN_10026450.c                                → ghidra/terrain/FUN_10026450.c
FUN_10026520.c                                → ghidra/terrain/FUN_10026520.c
FUN_100265b0.c                                → ghidra/terrain/FUN_100265b0.c
FUN_100266b0.c                                → ghidra/terrain/FUN_100266b0.c
FUN_10026800.c                                → ghidra/sound/FUN_10026800.c
FUN_10026be0.c                                → ghidra/jgl/FUN_10026be0.c
FUN_10026c50.c                                → ghidra/terrain/FUN_10026c50.c
FUN_10026c70.c                                → ghidra/terrain/FUN_10026c70.c
FUN_10026c90.c                                → ghidra/terrain/FUN_10026c90.c
FUN_10026d00.c                                → ghidra/terrain/FUN_10026d00.c
FUN_10026d30.c                                → ghidra/sound/FUN_10026d30.c
FUN_10026d60.c                                → ghidra/terrain/FUN_10026d60.c
FUN_10026ee0.c                                → ghidra/terrain/FUN_10026ee0.c
FUN_10027040.c                                → ghidra/terrain/FUN_10027040.c
FUN_100270f0.c                                → ghidra/terrain/FUN_100270f0.c
FUN_10027100.c                                → ghidra/terrain/FUN_10027100.c
FUN_100271a0.c                                → ghidra/terrain/FUN_100271a0.c
FUN_100272d0.c                                → ghidra/terrain/FUN_100272d0.c
FUN_10027310.c                                → ghidra/sound/FUN_10027310.c
FUN_10027410.c                                → ghidra/terrain/FUN_10027410.c
FUN_10027430.c                                → ghidra/jgld/FUN_10027430.c
FUN_100274e0.c                                → ghidra/sound/FUN_100274e0.c
FUN_100276a0.c                                → ghidra/terrain/FUN_100276a0.c
FUN_10027730.c                                → ghidra/sound/FUN_10027730.c
FUN_100278f0.c                                → ghidra/terrain/FUN_100278f0.c
FUN_10027910.c                                → ghidra/terrain/FUN_10027910.c
FUN_10027930.c                                → ghidra/terrain/FUN_10027930.c
FUN_100279f0.c                                → ghidra/terrain/FUN_100279f0.c
FUN_10027a30.c                                → ghidra/terrain/FUN_10027a30.c
FUN_10027a70.c                                → ghidra/terrain/FUN_10027a70.c
FUN_10027aa0.c                                → ghidra/jgl/FUN_10027aa0.c
FUN_10027ab0.c                                → ghidra/terrain/FUN_10027ab0.c
FUN_10027ad0.c                                → ghidra/sound/FUN_10027ad0.c
FUN_10027bb0.c                                → ghidra/terrain/FUN_10027bb0.c
FUN_10027c30.c                                → ghidra/terrain/FUN_10027c30.c
FUN_10027db0.c                                → ghidra/terrain/FUN_10027db0.c
FUN_10027e10.c                                → ghidra/terrain/FUN_10027e10.c
FUN_10027e20.c                                → ghidra/sound/FUN_10027e20.c
FUN_10027e30.c                                → ghidra/terrain/FUN_10027e30.c
FUN_10027e50.c                                → ghidra/terrain/FUN_10027e50.c
FUN_10027e80.c                                → ghidra/terrain/FUN_10027e80.c
FUN_100280a0.c                                → ghidra/terrain/FUN_100280a0.c
FUN_10028100.c                                → ghidra/terrain/FUN_10028100.c
FUN_100281d0.c                                → ghidra/sound/FUN_100281d0.c
FUN_10028560.c                                → ghidra/sound/FUN_10028560.c
FUN_100285a0.c                                → ghidra/sound/FUN_100285a0.c
FUN_10028630.c                                → ghidra/jgld/FUN_10028630.c
FUN_100286a0.c                                → ghidra/sound/FUN_100286a0.c
FUN_100286f0.c                                → ghidra/sound/FUN_100286f0.c
FUN_10028740.c                                → ghidra/sound/FUN_10028740.c
FUN_100287c0.c                                → ghidra/sound/FUN_100287c0.c
FUN_10028810.c                                → ghidra/sound/FUN_10028810.c
FUN_100288a0.c                                → ghidra/sound/FUN_100288a0.c
FUN_10028960.c                                → ghidra/jgl/FUN_10028960.c
FUN_10028b70.c                                → ghidra/sound/FUN_10028b70.c
FUN_10028fb0.c                                → ghidra/sound/FUN_10028fb0.c
FUN_10028ff0.c                                → ghidra/sound/FUN_10028ff0.c
FUN_10029010.c                                → ghidra/terrain/FUN_10029010.c
FUN_10029020.c                                → ghidra/sound/FUN_10029020.c
FUN_10029050.c                                → ghidra/terrain/FUN_10029050.c
FUN_10029080.c                                → ghidra/terrain/FUN_10029080.c
FUN_100290c0.c                                → ghidra/terrain/FUN_100290c0.c
